"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Histidine metabolism","33","18","4","6.8417","0.77001","0.88716",NA,"68","0.68","1","1",NA,"P54","EC00012;EC000743;EC000455;EC000107;EC000108"
"Ascorbate (Vitamin C) and Aldarate Metabolism","29","17","3","4.5181","0.80198","0.9306",NA,"48","0.48","1","1",NA,"P55","EC000383;EC000644;EC000637"
"Chondroitin sulfate degradation","37","6","1","1.6781","0.80592","1",NA,"68","0.68","1","1",NA,"P56","EC00025"
"Drug metabolism - other enzymes","31","7","1","1.6781","0.80592","1",NA,"54","0.54","1","1",NA,"P57","EC0001000"
"Valine, leucine and isoleucine degradation","65","23","7","5.938","0.81227","0.92166",NA,"64","0.64","1","1",NA,"P58","EC00085;EC000166;EC000186;EC000189"
"Sialic acid metabolism","107","16","5","1.8072","0.82904","1",NA,"66","0.66","1","1",NA,"P59","EC00025"
"Keratan sulfate degradation","68","4","1","1.8072","0.82904","1",NA,"83","0.83","1","1",NA,"P60","EC00025"
"Vitamin E metabolism","54","12","1","1.8072","0.82904","1",NA,"45","0.45","1","1",NA,"P61","EC000383"
"Heparan sulfate degradation","34","6","1","1.8072","0.82904","1",NA,"71","0.71","1","1",NA,"P62","EC00025"
"Arachidonic acid metabolism","95","42","2","3.3563","0.8315","0.96213",NA,"61","0.61","1","1",NA,"P63","EC000980;EC000183"
"Porphyrin metabolism","43","11","2","3.3563","0.8315","0.96213",NA,"57","0.57","1","1",NA,"P64","EC000308;EC000495"
"Androgen and estrogen biosynthesis and metabolism","95","13","1","1.9363","0.84942","1",NA,"73","0.73","1","1",NA,"P65","EC00012"
"Lysine metabolism","52","19","6","6.4544","0.86117","0.94585",NA,"92","0.92","1","1",NA,"P66","EC00012;EC000331;EC000703;EC000284"
"Phosphatidylinositol phosphate metabolism","59","15","2","2.0654","0.86739","1",NA,"62","0.62","1","1",NA,"P67","EC00025"
"N-Glycan Degradation","16","5","2","2.0654","0.86739","1",NA,"77","0.77","1","1",NA,"P68","EC00025"
"Tryptophan metabolism","94","47","8","12.263","0.89399","0.94511",NA,"91","0.91","1","1",NA,"P69","EC00012;EC0001152;EC000451;EC0001184;EC0001250;EC00025;EC000505;EC000507"
"Leukotriene metabolism","92","16","1","2.3236","0.89719","1",NA,"77","0.77","1","1",NA,"P70","EC000183"
"Glutathione Metabolism","19","8","1","2.8399","0.93828","1",NA,"76","0.76","1","1",NA,"P71","EC000421"
"Aspartate and asparagine metabolism","114","57","12","15.232","0.95427","0.97768",NA,"86","0.86","1","1",NA,"P72","EC000308;EC00085;EC000284;EC00042;EC000709;EC000421;EC000541;EC000727;EC000703"
"Butanoate metabolism","34","19","5","6.7126","0.95668","0.98904",NA,"87","0.87","1","1",NA,"P73","EC00085;EC000166;EC000951"
"C21-steroid hormone biosynthesis and metabolism","112","33","1","3.2272","0.95795","1",NA,"88","0.88","1","1",NA,"P74","EC000842"
"Pyrimidine metabolism","70","32","5","9.8107","0.95839","0.98492",NA,"78","0.78","1","1",NA,"P75","EC00021;EC000490;EC00085;EC000354;EC000430"
"Aminosugars metabolism","69","13","1","3.4854","0.96746","1",NA,"94","0.94","1","1",NA,"P76","EC000259"
"Alanine and Aspartate Metabolism","30","17","1","4.389","0.98678","1",NA,"89","0.89","1","1",NA,"P77","EC00042"
"Purine metabolism","80","33","2","7.8744","0.99626","0.99959",NA,"95","0.95","1","1",NA,"P78","EC000436;EC000430"
