Query.Mass,Matched.Compound,Matched.Form,Retention.Time,Mass.Diff,Empirical.Compound
197.1009,C00062,M+Na[1+],196.7,7.6466770025263e-05,EC00042
101.071,C00064,M-HCOOH+H[1+],187.9,2.35332300206892e-05,EC00043
127.0514,C00064,M-H2O-H[-],50,0.000176466770014372,EC00044
129.0659,C00064,M-H2O+H[1+],78.4,0.000123533230009798,EC00045
129.06596,C00064,M-H2O+H[1+],180.8,0.000183533230000421,EC00046
130.0499,C00064,M-NH3+H[1+],77.9,2.35332300064783e-05,EC00045
130.04995,C00064,M-NH3+H[1+],188.4,7.35332299939273e-05,EC00043
145.0619,C00064,M-H[-],49.5,7.6466770025263e-05,EC00044
147.0766,C00064,M+H[1+],78,0.000223533230013118,EC00045
147.07666,C00064,M+H[1+],187.9,0.000283533230003741,EC00043
169.0584,C00064,M+Na[1+],188,2.35332300064783e-05,EC00043
106.0499,C00065,M+H[1+],190,2.35332300064783e-05,EC00047
88.0393,C00065,M-H2O+H[1+],190,2.35332300064783e-05,EC00047
149.0449,C00072,M-CO+H[1+],46.9,0.000523533229994655,EC00048
157.0143,C00072,M-H2O-H[-],202.9,7.64667699968413e-05,EC00049
175.0247,C00072,M-H[-],62.1,0.000123533230009798,EC00050
175.0248,C00072,M-H[-],144.2,2.35332300064783e-05,EC00051
191.0197,C00072,M-H+O[-],57.4,3.35332300096525e-05,EC00050
87.0084,C00072,M-2H[2-],141.8,0.000373533230018097,EC00051
87.0089,C00072,M-2H[2-],49.7,0.00012646676998429,EC00048
104.0529,C00073,M-HCOOH+H[1+],164,2.35332300206892e-05,EC00052
106.0684,C00073,M-CO2+H[1+],163.2,7.64667699826305e-05,EC00052
132.0478,C00073,M-H2O+H[1+],89.7,0.000123533230009798,EC00053
133.03185,C00073,M-NH3+H[1+],163.7,7.35332299939273e-05,EC00052
148.0438,C00073,M-H[-],58.1,7.6466770025263e-05,EC00054
150.0584,C00073,M+H[1+],163.8,0.000123533230009798,EC00052
150.05848,C00073,M+H[1+],89.2,0.000203533230006769,EC00053
151.0613,C00073,M(C13)+H[1+],160.5,0.0003764667700068,EC00052
172.0403,C00073,M+Na[1+],91.8,2.35332300064783e-05,EC00053
115.0867,C00077,M-H2O+H[1+],162,0.000123533229995587,EC00055
131.0827,C00077,M-H[-],51.1,7.64667699968413e-05,EC00056
159.0918,C00078,M-HCOOH+H[1+],154.9,2.35332300064783e-05,EC00057
169.0756,C00078,M-H4O2+H[1+],155.8,0.0003764667700068,EC00057
188.0707,C00078,M-NH3+H[1+],155,2.35332299780566e-05,EC00057
203.0826,C00078,M-H[-],59.1,2.35332299780566e-05,EC00058
204.08587,C00078,M(C13)-H[-],59.6,0.000153533229990899,EC00058
205.0972,C00078,M+H[1+],154.9,2.35332299780566e-05,EC00057
205.09729,C00078,M+H[1+],61.3,0.000113533229978202,EC00058
206.1008,C00078,M(C13)+H[1+],154.8,0.000223533229984696,EC00057
219.0772,C00078,M-H+O[-],58.7,0.00033353322999119,EC00058
227.0792,C00078,M+Na[1+],156.2,2.35332299780566e-05,EC00057
243.0532,C00078,M+K[1+],156.9,0.000523533229994655,EC00057
249.0877,C00078,M+HCOO[-],58.7,0.000155000000006567,EC00058
263.1033,C00078,M+CH3COO[-],58.2,0.000105000000019118,EC00058
120.0808,C00079,M-HCOOH+H[1+],155.1,7.64667699968413e-05,EC00059
130.0652,C00079,M-H4O2+H[1+],155.3,0.000123533229981376,EC00059
130.06528,C00079,M-H4O2+H[1+],61.3,0.000203533229978348,EC00060
146.0611,C00079,M-H2O-H[-],184.1,2.35332299780566e-05,EC00061
146.0612,C00079,M-H2O-H[-],58.4,7.6466770025263e-05,EC00060
148.0757,C00079,M-H2O+H[1+],51,2.35332300064783e-05,EC00062
148.07571,C00079,M-H2O+H[1+],153.3,3.35332299812308e-05,EC00059
