Metabolite,Identified_Name,p_value_12h,mean_YPGD_12h,mean_NPGD_12h,fold_change_12h,p_value_24h,mean_YPGD_24h,mean_NPGD_24h,fold_change_24h
C18_101.0245_134,Acetoacetate,0.16866721667034676,22.485176137018275,22.265912669980317,0.014137436934864155,0.0923492990857461,22.45428535886352,22.13300645060978,0.02079137310333375
C18_101.0245_49.5,2-Oxobutanoate,0.5531764589389525,20.748130303014307,20.646351957357837,0.007094443627478745,0.8404651581601992,20.55186625863316,20.529721914689528,0.0015553214812742328
C18_101.0609_172,Pentanoate,0.027439702475052754,17.67063171384781,17.42212016662437,0.020433414362936487,0.023550863678938168,17.750073138163383,17.600839089372318,0.012180760694780643
C18_101.0609_58.4,3-Methylbutanoic acid,0.06072410857940211,15.342152068132378,14.903608719239935,0.04183916293249596,0.7136024582253763,15.220254486076529,15.123028019184277,0.00924544809230467
C18_102.0308_49.1,Biuret,0.7556811279522926,17.633469768963817,17.586243836758896,0.0038690069879782755,0.19275112396665112,17.472056358629665,17.628550358822572,-0.01286442800220262
C18_103.0037_90.2,Hydroxypyruvate,0.7873580444380011,16.4417530320541,16.485235610972005,-0.0038103780528889056,0.5037769584072824,16.587708073607732,16.657647959765253,-0.006070145597165794
C18_103.0401_55.4,3-HYDROXYBUTANOIC ACIDᵢ,0.1772381469700034,21.796636043626652,21.315466060038997,0.0322048956639028,0.15591909635698784,22.070344027461207,21.55243725328397,0.034258092757051585
C18_107.0503_138.1,m-Cresolᵢ,0.02937568421730853,19.384686710181995,18.61458792656894,0.05848373942405859,0.6520083052044208,19.0128533989857,18.820987339127395,0.014632751031855537
C18_107.0503_59.4,4-Cresol*,0.2339314154079662,15.939618936789337,15.756930385319247,0.016630629608107364,0.8057185547191748,15.692868736434617,15.756506372782487,-0.005838578818198696
C18_108.0217_142.5,"N,N-Dimethylformamide",0.48080144852049533,14.47412617517403,14.876232054542065,-0.0395329046890999,0.3320515467585729,15.353296600074898,14.739373779419656,0.05887322767275881
C18_109.0409_217.8,Imidazole-4-acetaldehyde*,0.12562059272028625,16.013920877083805,15.607995052299227,0.037041357414838584,0.9311135740278064,15.539724716892012,15.568687571609447,-0.002686384541679902
C18_110.0251_248.1,Pyrrole-2-carboxylate,0.8054448714861773,16.515635237508,16.44937867969691,0.005799368769391301,0.11721042331629883,16.617615578064758,16.238033922069572,0.03333642445136064
C18_110.9758_217.1,Monomethyl sulfate*,0.8806679927285267,20.14253394522868,20.152736146883505,-7.305406324077724e-4,0.5381295130933139,20.181395314640586,20.212306758641546,-0.002208056869424849
C18_111.009_201.8,2-Furoate,0.6464581233026787,16.936564359836854,16.877575363066185,0.0050335877320660475,0.8379693527865694,16.776855087234434,16.82315505498456,-0.003975997379878603
C18_111.02_20.4,Uracil*,0.9297342208883277,19.297325377400238,19.30064826485755,-2.484023287010031e-4,0.12434201507244366,19.2966165539032,19.16217896664983,0.010086287301230358
C18_111.0452_254.9,"cis-1,2-Dihydrobenzene-1,2-diol",0.8317727246985372,15.690148100644382,15.748133880832327,-0.005321912465346379,0.3885917418221738,15.55922914533233,15.770967503301812,-0.019500581712940692
C18_112.0404_255.3,Pyrrole,0.34723373044877814,15.702041430156136,15.311422280976133,0.03634383552142473,0.2512359509871553,14.879361919967426,15.412004479710722,-0.050741850578389994
C18_112.0406_197.9,(S)-1-Pyrroline-5-carboxylate,0.6937109036159758,16.361843921249967,16.439644148773244,-0.006843726886290882,0.9192992956749135,16.079384490653336,16.11089785665916,-0.0028247152908982636
C18_112.0518_58.3,Creatinine*,0.26200126045368205,20.791256932835445,20.341236479863024,0.03156960002068217,0.21757733058583056,20.859278719715583,20.441908615614995,0.029159368851018146
C18_112.9857_50.6,FORMATE*ᵢ,0.5164727061596419,25.622601685402454,25.58626926244526,0.0020471693380004962,0.707886174175367,25.614036868642206,25.642840519553054,-0.0016214366079302831
C18_112.9881_47.8,Acetylenedicarboxylate,0.16526454508508545,17.93003386140313,17.75065711719358,0.014505779591221244,0.2986198291917043,17.90766772895207,17.79818106431015,0.008847646451436734
C18_113.0245_49.4,"2-Hydroxy-2,4-pentadienoate*",0.22648098800654443,21.46948072129144,21.312132154369994,0.0106123638419026,0.8218674968408672,21.303030540110086,21.27690185253087,0.0017705867815543507
C18_113.0359_191.2,"5,6-Dihydrouracil",0.8821048185256626,15.632170535614843,15.58645473858526,0.004225298214091359,0.03903006971650022,16.090629421833526,15.541634390297382,0.05008253298000447
C18_113.0608_142.2,Isoprene,0.7777591247476863,16.45358697378333,16.502136791314786,-0.004250711175904786,0.06348821272486137,16.73207741995882,16.45319864954003,0.02424849441863195
C18_114.0561_157.8,L-Proline*,0.31085821395104607,17.029156315229176,16.609809157157887,0.03597146339521582,0.4879013262260712,16.909851343748127,17.041034430988564,-0.011148936291716038
C18_114.9366_295.1,Phosphonic acid,0.2681564406480944,18.116241749112934,18.347412493307704,-0.01829291997602296,0.9313634047377393,18.227874274305783,18.210196871795073,0.001399805321007047
C18_115.0402_58.3,Levulinic acid*ᵢ,0.8653749790383025,19.547939236647856,19.50715809133194,0.003012911579675969,0.8306869926526779,19.404261631319187,19.346523958490714,0.004299160114325669
C18_115.0765_153.3,Isocaproic acid*ᵢ,0.21151118783573533,17.225378690962074,17.51377083872512,-0.023954039485559058,0.5214042711673209,17.647905830265103,17.568248471870117,0.006526633824770642
C18_116.0354_183.4,L-Aspartate 4-semialdehyde*,0.7655560284868876,17.64387932183429,17.602653012933285,0.0033749146136781943,0.7305972114714984,17.38723212909266,17.47849522124523,-0.007552695508023497
