m.z,p.value,mode,r.t
85.02841798,0.601914893452096,positive,290.4586431
85.02846539,0.09600899463351913,positive,56.5877659
85.0414635,0.7915182992570867,positive,71.26778911
85.04779606,0.415514392914328,positive,71.95313692
85.10119486,0.044281977524532945,positive,291.8284664
85.51560053,0.2055059909620173,positive,246.8553878
85.96310233,0.7921396368460372,positive,203.505821
86.06007085,0.13317661940749298,positive,287.4093516
86.0601188,0.2574006413011813,positive,67.60032266
86.07134649,0.007518607167197218,positive,31.06981639
86.09663859,0.19396964927234056,positive,36.79735597
86.90869577,0.3193193237157167,positive,42.67711193
86.95260182,0.7560851056411879,positive,25.39613694
87.02636387,0.4894018692074069,positive,42.70896931
87.04407159,0.04460291884230689,positive,289.5254113
87.04410261,0.6746156294305184,positive,38.700804
87.05531146,0.26086693505447434,positive,75.31729616
87.0641035,0.6062143261829764,positive,25.25585843
87.0917115,0.70845857998809,positive,292.1118076
87.09985007,0.1501970618513165,positive,37.17141102
88.00425131,0.35279755820406344,positive,284.1698492
88.02318786,0.08694945481341462,positive,251.4833965
88.03933581,0.36268745914497136,positive,286.5493904
88.03935127,0.31865809131359285,positive,80.39524183
88.03938885,0.9699824180173625,positive,185.4880557
88.05789901,0.9254383901100041,positive,64.27036148
88.07574809,0.5872897054375411,positive,83.18402635
88.52081017,0.08225574223329918,positive,222.3868003
88.61739048,0.7681070441311917,positive,81.10970972
88.95268286,0.6030987570409476,positive,252.2971503
89.001987,0.600532564479892,positive,284.0176711
89.00201042,0.5201934021527228,positive,81.13984198
89.0083215,0.8342254214159651,positive,71.42808776
89.00833293,0.9723467926446059,positive,279.7373193
89.03864944,0.48816750688948385,positive,34.64945445
89.04188835,0.2747857129920785,positive,54.55857461
89.059759,0.4282209337023757,positive,130.7241784
89.05982223,0.4837575203344945,positive,296.0381341
89.07096677,0.10265640298348022,positive,288.26625
89.10736192,0.15747783533464377,positive,274.5428103
89.50682187,0.01145650260122894,positive,281.9276928
89.51002308,0.9191689970273613,positive,192.2789219
89.95081898,0.5829767757179098,positive,282.4417173
89.96249768,0.20340593054343853,positive,225.0080642
90.03723536,0.20965554029145766,positive,290.3656427
90.05502652,0.6133554063864519,positive,57.64460634
90.09138826,0.17285826045021566,positive,283.2392524
90.50698229,0.3240102813518978,positive,257.3794829
90.5273569,0.23317824903272788,positive,255.510963
90.97669008,0.5295369000139099,positive,56.16844276
91.00589404,0.9769706821769577,positive,283.2412351
91.00865137,0.30296106736066425,positive,281.5012103
91.00866596,0.1299838616925449,positive,81.45515544
91.01795313,0.5898279925823151,positive,194.9575463
91.02903867,0.7731193322702402,positive,270.4874102
91.03979443,0.6131420361175377,positive,42.58728616
91.05430844,0.3103984131762283,positive,39.49641254
91.50469881,0.9242647037777167,positive,274.0240948
91.52206465,0.4439282112227446,positive,196.2333935
91.52521365,0.39324968295605034,positive,216.803652
91.52857066,0.7973785630821026,positive,203.377437
91.98005305,0.38076413840503354,positive,59.24161099
92.00482047,0.658111260366736,positive,280.1555784
92.00636441,0.5170681026933401,positive,282.3773474
92.02157614,0.39257803290565085,positive,188.9048091
92.0240254,0.9679878304381224,positive,201.4034171
92.02569931,0.7546610728027173,positive,217.6720968
92.0369682,0.6253882549852945,positive,125.5009436
92.05761655,0.5237532663654765,positive,290.2283105
92.50348013,0.6604098908360034,positive,284.0719607
92.503492,0.769636343828574,positive,80.48193747
92.94814353,0.3952383022289122,positive,284.9895186
93.01997413,0.250330119423975,positive,217.7475323
93.0240484,0.7654088995086599,positive,203.0219762
93.04480659,0.4205709287921553,positive,99.74035108
93.06994024,0.3717526187258371,positive,59.20747924
93.06994572,0.6394924734193622,positive,134.0334726
93.50377753,0.8512979170860845,positive,275.5340212
93.98409529,0.06044745541422049,positive,279.4198637
94.02880157,0.39123720856814626,positive,39.22809772
94.0451383,0.14654032601953743,positive,123.2344593
94.06518108,0.9601616099989154,positive,125.0537174
94.07324692,0.045290813670426325,positive,290.7029809
94.5023231,0.21482388944374087,positive,274.5414159
94.52084594,0.7928257843797806,positive,220.0657357
94.543682,0.5166063183279643,positive,151.0944294
94.54642742,0.7124923145110553,positive,251.5590928
94.94357368,0.3480710458439026,positive,283.2714483
95.01280726,0.14228539201309495,positive,71.5910938
95.02402448,0.6120273254351296,positive,270.0370196
95.04387206,0.9248873082874571,positive,240.8349018
95.04389743,0.10359173886304143,positive,127.814977
95.04721541,0.13430617837912942,positive,147.7880064
95.04905656,0.18898222243887255,positive,276.6921965
95.04921145,0.6926302916958385,positive,145.0280525
95.06043216,0.7416729606169306,positive,100.9513343
95.06854325,0.16955111963402214,positive,38.04931808
95.08560012,0.321435094895886,positive,30.83855528
95.50172477,0.6948432745574236,positive,273.7309703
95.54560673,0.44676542290019694,positive,123.8812145
95.96404634,0.10215764581221072,positive,278.394581
96.04443233,0.7902658118991609,positive,293.0843421
96.04445963,0.6749986769804218,positive,155.8886054
96.05565544,0.9805897957374482,positive,283.8187459
96.06824022,0.6114832748791528,positive,119.6157906
96.08079825,0.599490206399071,positive,285.5052228
96.0808262,0.6050318440056482,positive,35.31049728
96.08891983,0.44386159555562144,positive,289.9822178
96.08894104,0.37900639821536297,positive,29.14321708
96.92181876,0.5417216485820184,positive,47.53810749
96.96098643,0.4772792257150903,positive,290.5945809
96.96099024,0.30361154112124883,positive,104.6093719
97.02846259,0.7290274129068939,positive,63.43590937
97.03968749,0.8871954685533869,positive,94.14561617
97.03970055,0.40275182880779015,positive,163.6304677
97.03970679,0.7264272112147921,positive,290.2586911
97.04775017,0.4728185525862968,positive,287.1402126
97.06485236,0.5761585391717308,positive,163.0285505
97.07608559,0.6088032339659717,positive,170.8608285
97.07609276,0.39573766248776077,positive,74.33076214
97.10123931,0.4606653826180779,positive,22.28581663
97.10129888,0.9547183736217351,positive,288.167834
97.53373188,0.7634240199902247,positive,219.1342954
97.98919663,0.1269828147230736,positive,237.7273891
98.01361244,0.640956286603577,positive,281.1273285
98.01363092,0.8268411378657233,positive,70.58617975
98.0236956,0.7410025675329941,positive,75.54460817
98.06008303,0.9573791125656532,positive,178.1258925
98.06815562,0.44084896170688914,positive,288.5114588
98.09645043,0.264331174297554,positive,273.6405819
98.09648549,0.5304881419472649,positive,124.1422019
98.09649188,0.4942997905647538,positive,48.37430132
98.47062059,0.044619685170588334,positive,292.8913911
98.51204815,0.05033888877831707,positive,288.3568145
98.91893138,0.49495938251420923,positive,47.0325855
98.96136145,0.46414067241349766,positive,260.1261305
98.97539012,0.7566158219898973,positive,214.3014805
98.98422559,0.23324438710482925,positive,105.8917001
98.98840414,0.6570023374138988,positive,238.9183973
99.04411687,0.13324263630639208,positive,60.08975595
99.05533344,0.5676757649126938,positive,297.0103276
99.05533651,0.3066947588228774,positive,163.9203534
99.05534101,0.38789794239377395,positive,87.08416295
99.06341917,0.9968079177340727,positive,289.4532463
99.0805155,0.27916248555633016,positive,142.5193386
99.08051802,0.09329188334528846,positive,292.26679
99.09169577,0.7400793858957603,positive,286.9111017
99.09171677,0.4686289946571416,positive,100.5174632
99.51225545,0.5604806323809484,positive,55.61824635
99.51225712,0.8334374482018369,positive,276.7252816
99.99563149,0.2409512341396393,positive,193.6873917
100.0111241,0.9788513921698934,positive,274.4741316
100.0111519,0.9462204501859146,positive,27.55851035
100.0139313,0.4347266901332283,positive,284.8321984
100.0216084,0.9122807040897318,positive,32.48403668
100.02167,0.3202422103709971,positive,182.9745393
100.0243614,0.6650642007308356,positive,259.7935001
100.0393283,0.42702478576803227,positive,294.4010288
100.0393634,0.868408336136804,positive,118.7619905
100.050611,0.2760761808647332,positive,34.59658404
100.0757693,0.5438391449294144,positive,36.99313229
100.1121549,0.5360185413001977,positive,285.3191436
100.5099716,0.6751811223546172,positive,276.5208986
100.5264513,0.7852200138451598,positive,192.3290747
100.5305324,0.24159874759349198,positive,222.7017959
100.916966,0.7403633131407337,positive,47.64662423
100.9568037,0.47210031872418967,positive,271.5810892
100.9876143,0.24193974291011902,positive,210.1514726
101.0100592,0.6901620808753903,positive,280.7734605
101.0116367,0.3654594500358338,positive,283.1023428
101.016853,0.6455211537938046,positive,26.70163452
101.0251718,0.4346925353297427,positive,266.1332447
101.0277546,0.9337979481483931,positive,258.8626165
101.034601,0.03528677708040074,positive,289.838328
101.0597509,0.6472236221455168,positive,136.6752684
