"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Pyrimidine metabolism","70","35","8","12.308","0.90671","0.95343","0.1417","100","1","1","1","1","P72","EC0008;EC00037;EC000457;EC000244;EC000282;EC000130;EC000131;EC00028"
"Hexose phosphorylation","20","17","5","4.0465","0.90934","0.98325","0.14441","78","0.78","1","1","1","P73","EC00016;EC000142"
"Sialic acid metabolism","107","23","7","5.7326","0.92003","0.97786","0.1564","0","0","1","1","1","P74","EC000798;EC00016;EC00041"
"Purine metabolism","80","38","7","11.297","0.92033","0.96322","0.15677","100","1","1","1","1","P75","EC00090;EC000581;EC000214;EC00037;EC0008;EC00028;EC00048"
"Porphyrin metabolism","43","11","2","4.3837","0.9314","0.98813","0.17122","93","0.93","1","1","1","P76","EC000904;EC00048"
"Glutathione Metabolism","19","7","1","2.6977","0.93488","1","0.17628","100","1","1","1","1","P77","EC000394"
"Ascorbate (Vitamin C) and Aldarate Metabolism","29","16","4","6.0698","0.93757","0.98354","0.18039","100","1","1","1","1","P78","EC000200;EC000609;EC00048"
"Selenoamino acid metabolism","35","7","1","2.8663","0.94517","1","0.19305","25","0.25","1","1","1","P79","EC00041"
"C21-steroid hormone biosynthesis and metabolism","112","49","8","6.407","0.95151","0.98779","0.20508","0","0","1","1","1","P80","EC000806;EC000904;EC000338"
"Vitamin B9 (folate) metabolism","33","9","1","3.0349","0.95383","1","0.20988","59","0.59","1","1","1","P81","EC00041"
"Histidine metabolism","33","18","4","8.093","0.95695","0.9867","0.2167","100","1","1","1","1","P82","EC00015;EC000422;EC000785;EC0008"
"Aminosugars metabolism","69","21","2","5.7326","0.97844","0.99703","0.28321","100","1","1","1","1","P83","EC0008;EC00037"
"Lysine metabolism","52","22","3","8.093","0.98715","0.99736","0.33083","100","1","1","1","1","P84","EC00015;EC000231;EC000827"
"TCA cycle","31","14","1","4.8895","0.99311","1","0.38496","100","1","1","1","1","P85","EC00015"
