"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Fatty Acid Metabolism","63","14","2","5.2027","0.88614","0.96645","0.12033","4","0.04","1","1","1","P76","EC000651;EC000652;EC000589"
"Di-unsaturated fatty acid beta-oxidation","26","7","1","2.3123","0.90633","1","0.13836","0","0","1","1","1","P77","EC0001126"
"Mono-unsaturated fatty acid beta-oxidation","19","10","1","2.3123","0.90633","1","0.13836","0","0","1","1","1","P78","EC0001126"
"Vitamin E metabolism","54","10","1","2.505","0.92319","1","0.15715","0","0","1","1","1","P79","EC0001144"
"Vitamin B3 (nicotinate and nicotinamide) metabolism","28","17","3","5.9734","0.93505","0.98298","0.17326","100","1","1","1","1","P80","EC0009;EC000134;EC00029"
"Pentose and Glucuronate Interconversions","15","11","4","2.6977","0.93703","1","0.17625","100","1","1","1","1","P81","EC00089"
"Squalene and cholesterol biosynthesis","55","17","1","3.0831","0.95769","1","0.21483","92","0.92","1","1","1","P82","EC00083"
"Methionine and cysteine metabolism","94","35","7","11.561","0.97113","0.98932","0.25168","100","1","1","1","1","P83","EC0009;EC0008;EC00083;EC00040;EC0001219;EC000170"
"TCA cycle","31","14","2","5.588","0.97659","0.99678","0.2716","100","1","1","1","1","P84","EC00023;EC000274"
"C21-steroid hormone biosynthesis and metabolism","112","49","4","7.3223","0.97716","0.99499","0.27391","0","0","1","1","1","P85","EC000338;EC000319;EC000320"
"Androgen and estrogen biosynthesis and metabolism","95","33","5","3.8538","0.98094","1","0.29082","0","0","1","1","1","P86","EC000338"
"Drug metabolism - other enzymes","31","12","1","3.8538","0.98094","1","0.29082","100","1","1","1","1","P87","EC000974"
