"Metabolite","p_between","mean_Y","mean_N","log2FC_YN","FC_YN","p_within_N","p_within_Y","mean12_N","mean12_Y","mean24_N","mean24_Y","log2FC_N","log2FC_Y","FC_N","FC_Y","Identified_Name"
"C20522_HILIC",0.00166473611596778,0.968419416610435,-0.562786645585446,1.53120606219588,2.89027358827646,0.0546903165392252,0.0154418309415233,18.0381937253327,16.2652594506797,17.4754070797472,17.2336788672902,-0.562786645585446,0.968419416610435,0.676993249954728,1.9566957097856,"Dihydrourocanate"
"C20818_C18",0.00599316313423602,1.188520975448,-1.18084495760506,2.36936593305305,5.16713985659325,0.0344158696097866,0.0731838356228815,16.5588969960338,16.3688206385366,15.3780520384287,17.5573416139846,-1.18084495760506,1.188520975448,0.441093083089646,2.27918965010011,"C20818"
"C20324_HILIC",0.0109966804411729,0.249233062645768,-0.624988561335334,0.874221623981102,1.83301885248265,0.0236708203320896,0.245373219360701,17.2178562858396,16.8107563888919,16.5928677245042,17.0599894515377,-0.624988561335334,0.249233062645768,0.648424918457615,1.18857509995233,"[(1S)-4-Hydroxy-2,2,3-trimethylcyclopent-3-enyl]acetate"
"C13482_HILIC",0.0168292957662576,-0.262962571144989,1.19096060030934,-1.45392317145433,0.365027441131163,0.01181106497173,0.516826034029694,15.9160713046607,16.9738204082107,17.10703190497,16.7108578370657,1.19096060030934,-0.262962571144989,2.28304706387885,0.833374827709712,"Phosphodimethylethanolamine"
"C01617_HILIC",0.0198158709872489,-2.52655587607231,-0.0716374824114645,-2.45491839366085,0.182387859544705,0.87996722621152,0.013584449380373,14.3162349341839,15.366064870399,14.2445974517724,12.8395089943267,-0.0716374824114645,-2.52655587607231,0.95155735176382,0.173552508622231,"Taxifolin"
"C20892_C18*",0.0208461337034218,-0.774899140433764,0.589437766943467,-1.36433690737723,0.388412919130044,0.155036823908385,0.0746696497632701,14.9905605429704,15.4291791420645,15.5799983099139,14.6542800016308,0.589437766943467,-0.774899140433764,1.50466025160199,0.584429480623675,"3-(5-Oxoisoxazolin-2-yl)-L-alanine"
"C20893_C18",0.0208461337034218,-0.774899140433764,0.589437766943467,-1.36433690737723,0.388412919130044,0.155036823908385,0.0746696497632701,14.9905605429704,15.4291791420645,15.5799983099139,14.6542800016308,0.589437766943467,-0.774899140433764,1.50466025160199,0.584429480623675,"3-(5-Oxoisoxazolin-4-yl)-L-alanine"
"C01586_HILIC",0.0210088105917331,-0.508472577231112,0.720690904064736,-1.22916348129585,0.426564709454993,0.0519644247478652,0.19127763797709,17.0826242063711,17.9748673847453,17.8033151104359,17.4663948075142,0.720690904064736,-0.508472577231112,1.64797105596938,0.702966294679816,"Hippurate"
"C05465_C18",0.0228987440112936,2.02135495403196,0.730426992091483,1.29092796194047,2.44685390051168,0.0688970687991203,0.000629577563786894,17.6471218228232,17.6241520150659,18.3775488149147,19.6455069690978,0.730426992091483,2.02135495403196,1.65913006898115,4.05964888074274,"Taurochenodeoxycholate"
"C15685_HILIC",0.0235079661591009,0.400578565766843,2.53238370987185,-2.13180514410501,0.228172187860765,0.00179141612194106,0.5250996140772,15.2694050097441,16.7080886077927,17.8017887196159,17.1086671735595,2.53238370987185,0.400578565766843,5.78526766627114,1.32003718077323,"Protomycinolide IV"
"C03078_HILIC",0.0245421642451931,-0.984348091213248,1.04051989043689,-2.02486798165013,0.24572763468803,0.0885516707756558,0.144253780701608,16.1286099436787,17.064138778784,17.1691298341155,16.0797906875707,1.04051989043689,-0.984348091213248,2.05696877025019,0.505454070540723,"4-Guanidinobutanamide"
"C03375_HILIC",0.0270985700706851,0.881595129039198,-0.27781856580218,1.15941369484138,2.2336663391195,0.513087454666805,0.00750978958306294,15.6211334023661,15.1765758034087,15.3433148365639,16.0581709324479,-0.27781856580218,0.881595129039198,0.824837274120357,1.84241125445372,"Norspermidine"
"C05301_HILIC",0.0273007784068342,0.196760617857172,-1.11172908260577,1.30848970046294,2.47682115754592,0.0255363649836562,0.575436893760367,19.4999564422076,19.272484487158,18.3882273596018,19.4692451050152,-1.11172908260577,0.196760617857172,0.462739101613336,1.1461219972997,"2-Hydroxyestradiol"
"C04443_HILIC",0.0309003877634323,-0.458936356667466,0.837803468800048,-1.29673982546751,0.407044992102613,0.0252725560296414,0.327988115437419,14.0136604749694,14.7932379450965,14.8514639437694,14.334301588429,0.837803468800048,-0.458936356667466,1.78732682944728,0.727522435177156,"3-O-Methylquercetin"
"C03203_HILIC",0.0323786242012499,-1.32953906429126,0.160206331606879,-1.48974539589814,0.35607538286719,0.696072155237974,0.0282594547217881,16.236794317661,16.8342406118631,16.3970006492679,15.5047015475718,0.160206331606879,-1.32953906429126,1.11744694186297,0.397895347657629,"1-Hydroxy-2-naphthoate"
"C09848_HILIC*",0.0326124788627184,-0.664074917610156,0.48649148931056,-1.15056640692072,0.450448349049995,0.153293614101655,0.118314610570111,14.5338383875631,15.1483869655343,15.0203298768737,14.4843120479242,0.48649148931056,-0.664074917610156,1.40103353589621,0.631093243208125,"(R)-(+)-Citronellal"
"C11384_HILIC",0.0326124788627184,-0.664074917610156,0.48649148931056,-1.15056640692072,0.450448349049995,0.153293614101655,0.118314610570111,14.5338383875631,15.1483869655343,15.0203298768737,14.4843120479242,0.48649148931056,-0.664074917610156,1.40103353589621,0.631093243208125,"(S)-(-)-Citronellal"
