Metabolite,t.score,p.value,FDR,logFC,Rank
HILIC_85.02841798_290.4586431,0.8020617352603239,0.42744675909546437,0.9967227670908639,0.4148530408447816,1
HILIC_85.02846539_56.5877659,-1.5025483601244716,0.1411247954059652,0.9967227670908639,-0.5638488209599547,2
HILIC_85.0414635_71.26778911,0.02061210821690566,0.9836616761554441,0.9999999999999981,0.009636702103038752,3
HILIC_85.04779606_71.95313692,-0.75667355277384,0.4538571739460332,0.9967227670908639,-0.2294106004088908,4
HILIC_85.08415983_112.488396,-0.641744119314363,0.5248469217752267,0.9967227670908639,-0.5474692107212659,5
HILIC_85.10119486_291.8284664,2.7560629104013312,0.008896117941719982,0.9967227670908639,1.906379005358762,6
HILIC_85.51560053_246.8553878,-1.7408831139647876,0.08970180629887105,0.9967227670908639,-1.6476907274401842,7
HILIC_85.96310233_203.505821,0.2778407663362972,0.7826231546762162,0.9967227670908639,0.1786863473841037,8
HILIC_86.06007085_287.4093516,1.7881965060653835,0.08162676390046016,0.9967227670908639,0.7324162762614372,9
HILIC_86.0601188_67.60032266,0.9006325007096164,0.37339040566454396,0.9967227670908639,0.3005923086053629,10
HILIC_86.07134649_31.06981639,-2.7167315864950075,0.009828842198461366,0.9967227670908639,-0.8245105366864016,11
HILIC_86.09663859_36.79735597,1.018092126044985,0.31499775685362547,0.9967227670908639,0.3081344082785903,12
HILIC_86.50246097_105.8203745,0.7741998482289034,0.443547255585774,0.9967227670908639,0.9432045052266358,13
HILIC_86.71706644_48.17979105,-0.6984529980035538,0.48909704175316204,0.9967227670908639,-0.6632698791290892,14
HILIC_86.90869577_42.67711193,-0.7415649242337033,0.4628566191790692,0.9967227670908639,-0.23179441756680555,15
HILIC_86.93890293_48.06127491,-1.1714714281344936,0.24861771898037438,0.9967227670908639,-1.1203988759117482,16
HILIC_86.95260182_25.39613694,0.33781090665475905,0.7373431406457656,0.9967227670908639,0.19784357180370282,17
HILIC_86.95581031_178.7232882,0.6916482874354963,0.4933136699943619,0.9967227670908639,0.7659002386943204,18
HILIC_86.96401272_165.1674532,-0.6475291120053145,0.521137279151653,0.9967227670908639,-0.5049793869354545,19
HILIC_87.02636387_42.70896931,0.604539667834259,0.5490359309029684,0.9967227670908639,0.30587081072724565,20
HILIC_87.04407159_289.5254113,2.169774433642782,0.036268425242379644,0.9967227670908639,1.1979411847685937,21
HILIC_87.04410261_38.700804,-0.4863824186510445,0.6294568839669679,0.9967227670908639,-0.27152712686324415,22
HILIC_87.05531146_75.31729616,0.9640509823616841,0.3410447261941093,0.9967227670908639,0.3111718356555735,23
HILIC_87.0641035_25.25585843,0.5949800309705865,0.5553424198740334,0.9967227670908639,0.550018127283757,24
HILIC_87.0917115_292.1118076,0.4348569491590285,0.666097283620732,0.9967227670908639,0.23198028372779556,25
HILIC_87.09352591_36.60956775,1.9147934856270556,0.06298041220511023,0.9967227670908639,1.7059958144008698,26
HILIC_87.09985007_37.17141102,1.2330797045653483,0.2250317795408259,0.9967227670908639,0.37006822085376917,27
HILIC_87.16080947_48.28601042,0.5207550096176459,0.6055236212497527,0.9967227670908639,0.3156110431708291,28
HILIC_87.17652527_25.47557987,0.6610613380815915,0.5125147991652705,0.9967227670908639,0.4331582374046696,29
HILIC_87.25464156_258.6436112,0.7320240257141732,0.46859254284336815,0.9967227670908639,0.5305530710537182,30
HILIC_87.28809142_25.43432856,0.37749425267252495,0.7078820909506427,0.9967227670908639,0.19373611794153858,31
HILIC_87.40056958_25.99308903,0.2904825430832396,0.773008122994788,0.9967227670908639,0.26115528642902186,32
HILIC_88.00425131_284.1698492,0.926847862410332,0.35978705730296046,0.9967227670908639,0.3787628717647718,33
