Time,Identified_Name,Metabolite,Value,p_value,mean_YPGD,mean_NPGD,mean_difference,Legend
24h,"2,3,4,5-Tetrahydrodipicolinate",C03972_HILIC,0.6487371017102653,0.03226437975235424,15.765144061980894,15.036941916261778,0.7282021457191163,Up in PGD
24h,Indole-3-acetaldehyde,C00637_C18,0.7271059730674478,0.003263959940186146,NA,17.91187849975213,0.8385498524852011,Up in PGD
24h,7alpha-Hydroxy-3-oxo-4-cholestenoate,C17337_C18,1.0349148057064526,0.03085963794466112,NA,19.367514145617875,0.851185596010616,Up in PGD
24h,4-Hydroxy-2-oxoglutarate*,C01127_C18*,1.0536843584159161,0.015248313646647764,NA,14.589014495195475,1.3365074125828986,Up in PGD
24h,(4R)-4-Hydroxy-2-oxoglutarate,C05946_C18,1.0536843584159161,0.015248313646647764,NA,14.589014495195475,1.3365074125828986,Up in PGD
24h,"N(alpha)-Acetyl-L-2,4-diaminobutyrate",C19929_C18,1.072607761560978,0.00393337938707265,NA,14.415801866960146,1.01731188234662,Up in PGD
24h,Agmatine,C00179_HILIC,1.0958727083039224,0.03575653829189045,16.240926955064747,15.035786353894801,1.205140601169946,Up in PGD
24h,5-Methoxytryptamine*,C05659_HILIC*,1.2252522489549458,0.013623551562958155,17.875025622075327,15.672742397817583,2.2022832242577444,Up in PGD
24h,N-Methylserotonin,C06212_HILIC,1.2252522489549458,0.013623551562958155,17.875025622075327,15.672742397817583,2.2022832242577444,Up in PGD
24h,Carbapenem biosynthesis intermediate 2,C20818_C18,1.507335561049144,0.010251918457629893,NA,15.492131020535194,2.220874134560585,Up in PGD
24h,Caffeine,C07481_HILIC,2.313089928326506,0.0045595509675492585,21.61999518404985,19.035214178544436,2.5847810055054126,Up in PGD
